S.No.,Thematic Domain,Group Name,Work Name,Classification
1,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Boulder Check Dam,New
2,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Boulder Check Dam,Repair
3,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Earthen Check Dam,New
4,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Earthen Check Dam,Repair
5,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Gabion Check Dam,New
6,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Gabion Check Dam,Repair
7,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Masonry Check Dam,New
8,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Masonry Check Dam,Repair
9,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Brushwood Gully Plug,New
10,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Earthen Gully Plug,New
11,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Stone Boulder Gully Plug,New
12,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Main Canal,New
13,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Main Canal,Repair
14,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Branch Canal,New
15,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Branch Canal,Repair
16,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Major Distributary Canal,New
17,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Major Distributary Canal,Repair
18,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Minor Distributary Canal,New
19,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Minor Distributary Canal,Repair
20,Domain I: Water Security (Water Harvesting),Surface Structures,Lining of Canal,New
21,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Water Courses and Field Channels,New
22,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Diversion Channel,New
23,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Diversion Channel,Repair
24,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Flood Diversion Drain,New
25,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Flood Diversion Drain,Repair
26,Domain I: Water Security (Water Harvesting),Surface Structures,Construction of Underground Dyke,New
27,Domain I: Water Security (Water Harvesting),Surface Structures,Repair & Maintenance of Underground Dyke,Repair
28,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Collection Chamber for Spring Shed,New
29,Domain I: Water Security (Water Harvesting),Recharge Structures,Repair & Maintenance of Collection Chamber for Spring Shed,Repair
30,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Farm Pond,New
31,Domain I: Water Security (Water Harvesting),Recharge Structures,Construction of Filtration Chamber for Defunct Borewell,New
